pairid,argid,propid_to,propid_from,text_to,text_from,relation,nli_20K_ent,nli_20K_con,nli_20K_neu,nli_50K_ent,nli_50K_con,nli_50K_neu
00726_3#00726_3_6,00726,00726_3,00726_3_6,The US government should fund embryonic stem cell research.,"Some supporters of research ask, if destroying an embryo is ""murder"" then why isn""t it outlawed - that it is highly unlikely that it will be outlawed and that the private funding of the destruction of embryos for research continues unabated may undermine the argument that it is ""murder"":",1,0.005452276207506657,0.6528527140617371,0.34169501066207886,0.0026042135432362556,0.7964829206466675,0.20091286301612854
00452_6#00452_6_19,00452,00452_6,00452_6_19,This House believes that downloading music and films from the Internet should be prohibited.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",-1,0.0005203497130423784,0.9861276149749756,0.013351978734135628,0.00017150279018096626,0.9975965619087219,0.0022318821866065264
00145_5#00145_5_22,00145,00145_5,00145_5_22,Unregulated distribution of copyrighted works over Internet should be allowed.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",1,0.0037522134371101856,0.9395660161972046,0.05668177828192711,0.005431290250271559,0.509560227394104,0.48500847816467285
00800_5#00800_5_9,00800,00800_5,00800_5_9,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,0.0040679932571947575,0.056209996342659,0.9397220015525818,0.0024125685449689627,0.02018585428595543,0.977401614189148
00211_5#00211_5_2,00211,00211_5,00211_5_2,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,0.0040679932571947575,0.056209996342659,0.9397220015525818,0.0024125685449689627,0.02018585428595543,0.977401614189148
00800_7#00800_7_52,00800,00800_7,00800_7_52,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.02133515663444996,0.024301856756210327,0.9543629884719849,0.0009454077808186412,0.0016654846258461475,0.9973891377449036
00211_7#00211_7_50,00211,00211_7,00211_7_50,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.02133515663444996,0.024301856756210327,0.9543629884719849,0.0009454077808186412,0.0016654846258461475,0.9973891377449036
00889_20#00889_20_2,00889,00889_20,00889_20_2,Tibet should seek and gain independence.,"Tibet has been autonomous within China but never independent""Tibet: Chinas policy paper on Tibet"". Information Office of the State Council of the Peoples Republic of China. May 2004- ""I. The Establishment and Development of Regional Ethnic Autonomy in Tibet",-1,0.060588330030441284,0.14365920424461365,0.7957524061203003,0.008634853176772594,0.005683196242898703,0.9856818318367004
00726_6#00726_6_7,00726,00726_6,00726_6_7,The US government should fund embryonic stem cell research.,"Because adult stem cells are already in clinical use, they may be more practical than embryonic stem cells to move forward with:World of Stem Cells ""Advantages and Disadvantages of Adult Stem Cells over Embryonic Stem Cells""",-1,0.002190681640058756,0.057372353971004486,0.9404368996620178,0.000714580062776804,0.003672298276796937,0.9956130981445312
00800_1#00800_1_6,00800,00800_1,00800_1_6,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,0.15346947312355042,0.10020699352025986,0.7463235259056091,0.014805475249886513,0.11310441792011261,0.8720901608467102
00211_1#00211_1_13,00211,00211_1,00211_1_13,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,0.15346947312355042,0.10020699352025986,0.7463235259056091,0.014805475249886513,0.11310441792011261,0.8720901608467102
00726_3#00726_3_3,00726,00726_3,00726_3_3,The US government should fund embryonic stem cell research.,"Human ""life"" begins at ""conception"", when a sperm fertilizes an egg cell, making the destruction of an embryo at any point beyond ""conception""  the destruction of ""human life"":",-1,0.0007492901640944183,0.03787999600172043,0.9613707661628723,0.0005385362892411649,0.0039446474984288216,0.995516836643219
00449_5#00449_5_3,00449,00449_5,00449_5_3,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Privacy is a very important element of the social contract, and helps foster individuality and free expression, but is undermined by the extent of access of these groups.",-1,0.004439642187207937,0.07188072055578232,0.9236796498298645,0.0007190104224719107,0.00900657195597887,0.9902743697166443
00164_9#00164_9_3,00164,00164_9,00164_9_3,Gay couples should be given the same legal rights as heterosexuals in adopting children.,"There is no scientific basis for concluding that gay and lesbian parents are any less fit or capable than heterosexual parents, or that their children are any less psychologically healthy and well adjusted.",1,0.009438433684408665,0.125667542219162,0.8648940920829773,0.0027761664241552353,0.14431558549404144,0.8529083132743835
00108_3#00108_3_3,00108,00108_3,00108_3_3,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,0.011961092241108418,0.019201377406716347,0.9688374996185303,0.005447479896247387,0.0007806139765307307,0.9937719702720642
00250_3#00250_3_1,00250,00250_3,00250_3_1,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,0.011961092241108418,0.019201377406716347,0.9688374996185303,0.005447479896247387,0.0007806139765307307,0.9937719702720642
00964_5#00964_5_1,00964,00964_5,00964_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.016736166551709175,0.5466381907463074,0.4366256892681122,0.0044868942350149155,0.1064741313457489,0.8890390396118164
00670_5#00670_5_1,00670,00670_5,00670_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.016736166551709175,0.5466381907463074,0.4366256892681122,0.0044868942350149155,0.1064741313457489,0.8890390396118164
00090_8#00090_8_37,00090,00090_8,00090_8_37,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.008338334038853645,0.18891717493534088,0.8027445077896118,0.012278124690055847,0.2328321784734726,0.754889726638794
00874_8#00874_8_35,00874,00874_8,00874_8_35,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.008338334038853645,0.18891717493534088,0.8027445077896118,0.012278124690055847,0.2328321784734726,0.754889726638794
00800_7#00800_7_15,00800,00800_7,00800_7_15,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.018656397238373756,0.01944458670914173,0.9618990421295166,0.0008759800111874938,0.0014810701832175255,0.9976429343223572
00211_7#00211_7_1,00211,00211_7,00211_7_1,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.018656397238373756,0.01944458670914173,0.9618990421295166,0.0008759800111874938,0.0014810701832175255,0.9976429343223572
00090_8#00090_8_16,00090,00090_8,00090_8_16,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.0022583995014429092,0.6572132706642151,0.34052830934524536,0.003204596694558859,0.680341362953186,0.3164540231227875
00800_1#00800_1_1,00800,00800_1,00800_1_1,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.041984375566244125,0.03060919977724552,0.9274064898490906,0.0024932236410677433,0.004743544384837151,0.9927632212638855
